city_name,month,humidity,pressure,avg_temp_c
'S Gravenjansdijk,1,90.54838709677419,1014.4516129032259,4.145161290322581
'S Gravenjansdijk,2,83.46428571428571,1022.9285714285714,5.0249999999999995
'S Gravenjansdijk,3,71.38709677419355,1017.4193548387096,8.848387096774195
'S Gravenjansdijk,4,68.66666666666667,1018.0666666666667,12.639999999999999
'S Gravenjansdijk,5,56.45,1018.15,15.434999999999999
'S Gravenjansdijk,6,64.29411764705883,1012.7647058823529,20.041176470588233
'S Gravenjansdijk,7,63.07142857142857,1014.3571428571429,21.25
'S Gravenjansdijk,8,56.38709677419355,1014.2903225806451,23.567741935483873
'S Gravenjansdijk,9,70.53333333333333,1013.8333333333334,18.736666666666668
'S Gravenjansdijk,10,84.38709677419355,1015.516129032258,13.503225806451614
'S Gravenjansdijk,11,87.66666666666667,1019.8666666666667,8.266666666666667
'S Gravenjansdijk,12,84.83870967741936,1021.6129032258065,6.622580645161291
'S Gravenjansdyk,6,67.63636363636364,1014.8181818181819,16.554545454545455
'S Gravenstaffel,5,79.6,1011.8666666666667,15.666666666666666
Abu Dhabi,1,47.67741935483871,1017.6451612903226,23.296774193548387
Abu Dhabi,2,47.714285714285715,1015.25,25.42142857142857
Abu Dhabi,3,32.064516129032256,1014.2258064516129,29.470967741935485
Abu Dhabi,4,21.933333333333334,1009.4666666666667,36.04666666666667
Abu Dhabi,5,33.861111111111114,1004.2222222222222,36.68333333333333
Abu Dhabi,6,43.56666666666667,997.7666666666667,37.61333333333334
Abu Dhabi,7,51.172413793103445,993.8965517241379,37.50344827586206
Abu Dhabi,8,55.03225806451613,996.9032258064516,37.63870967741936
Abu Dhabi,9,38.63333333333333,1002.0,38.88
Abu Dhabi,10,52.935483870967744,1009.6774193548387,32.270967741935486
Abu Dhabi,11,55.833333333333336,1014.5,29.083333333333332
Abu Dhabi,12,53.38709677419355,1016.741935483871,24.164516129032258
Abuja,1,25.677419354838708,1013.6129032258065,32.12903225806452
Abuja,2,31.035714285714285,1012.2857142857143,32.61785714285715
Abuja,3,60.774193548387096,1012.9677419354839,31.22258064516129
Abuja,4,69.0,1012.6333333333333,29.71333333333333
Abuja,5,66.27777777777777,1012.6666666666666,30.444444444444443
Abuja,6,66.8,1012.4,30.043333333333333
Abuja,7,80.20689655172414,1014.2758620689655,27.089655172413792
Abuja,8,79.96774193548387,1014.1290322580645,26.361290322580647
Abuja,9,76.33333333333333,1014.9666666666667,28.173333333333336
Abuja,10,79.58064516129032,1015.0,27.30322580645161
Abuja,11,43.56666666666667,1014.1,29.19
Abuja,12,23.322580645161292,1013.741935483871,32.72258064516129
Accra,1,69.83870967741936,1012.0322580645161,30.096774193548388
Accra,2,72.28571428571429,1010.8571428571429,30.025000000000002
Accra,3,76.25806451612904,1011.1935483870968,29.219354838709677
Accra,4,80.26666666666667,1011.0333333333333,28.663333333333334
Accra,5,76.75,1011.7222222222222,29.319444444444443
Accra,6,74.83333333333333,1012.2666666666667,29.02
Accra,7,77.0,1014.4827586206897,27.055172413793105
Accra,8,74.70967741935483,1014.258064516129,26.651612903225807
Accra,9,72.13333333333334,1014.2666666666667,28.1
Accra,10,81.6774193548387,1014.0,27.238709677419354
Accra,11,80.66666666666667,1012.3333333333334,28.323333333333334
Accra,12,61.645161290322584,1012.3548387096774,30.203225806451613
